DA,HOUSTON,MATAMOROS,MIAMI,TAMPICO
1,HW (87.10%),FMFRA-ASSAF (92.31%),HW (96.77%),FMFRA-ASSAF (84.62%)
2,LGBM (87.10%),HW (83.87%),SARIMA (96.77%),LSTM (78.95%)
3,SARIMA (87.10%),LR (83.87%),FMFRA-DLF (96.77%),SARIMA (74.19%)
4,SSA (87.10%),SARIMA (83.87%),SSA (96.77%),HW (70.97%)
5,XGB (87.10%),LGBM (80.65%),RFR (93.55%),RFR (70.97%)
6,FMFRA-DLF (87.10%),RFR (80.65%),LR (87.10%),LGBM (64.52%)
7,LR (83.87%),SSA (80.65%),LGBM (80.65%),LR (64.52%)
8,RFR (83.87%),LSTM (78.95%),LSTM (78.95%),SSA (64.52%)
9,LSTM (78.95%),XGB (77.42%),XGB (74.19%),XGB (64.52%)
10,CNN (63.16%),CNN (63.16%),CNN (63.16%),CNN (63.16%)
,,,,
MASE,HOUSTON,MATAMOROS,MIAMI,TAMPICO
1,RFR (0.4324),SARIMA (0.3920),HW (0.3855),XGB (0.4699)
2,LSTM (0.4653),LSTM (0.4065),FMFRA-DLF (0.3963),SSA (0.4775)
3,XGB (0.5047),LR (0.4276),SSA (0.4125),FMFRA-ASSAF (0.4899)
4,SARIMA (0.5089),RFR (0.4478),SARIMA (0.5166),RFR (0.5138)
5,LGBM (0.5132),LGBM (0.4816),XGB (0.6562),SARIMA (0.5289)
6,LR (0.5170),XGB (0.4995),RFR (0.6627),LR (0.5513)
7,SSA (0.6025),FMFRA-ASSAF (0.5137),LR (0.6669),LGBM (0.5873)
8,FMFRA-DLF (0.6030),SSA (0.5425),LGBM (0.7679),HW (0.6133)
9,HW (0.6324),CNN (0.5604),LSTM (1.0393),LSTM (0.6608)
10,CNN (0.6448),HW (0.5726),CNN (1.7743),CNN (1.0733)
,,,,
sMAPE,HOUSTON,MATAMOROS,MIAMI,TAMPICO
1,FMFRA-DLF (5.17%),FMFRA-ASSAF (5.03%),HW (2.52%),XGB (3.54%)
2,RFR (5.95%),SSA (5.04%),SARIMA (2.56%),FMFRA-ASSAF (3.62%)
3,LSTM (6.49%),LSTM (5.24%),FMFRA-DLF (2.61%),SSA (3.71%)
4,SSA (6.61%),HW (5.30%),SSA (2.61%),RFR (3.83%)
5,CNN (6.79%),SARIMA (5.30%),XGB (3.20%),SARIMA (4.04%)
6,HW (6.99%),RFR (5.86%),RFR (3.27%),LR (4.17%)
7,LGBM (7.13%),LR (5.90%),LR (3.28%),LGBM (4.32%)
8,XGB (7.14%),LGBM (6.35%),LGBM (3.82%),HW (4.66%)
9,SARIMA (7.40%),XGB (6.70%),LSTM (5.09%),LSTM (4.77%)
10,LR (7.70%),CNN (6.92%),CNN (8.27%),CNN (7.44%)
,,,,
Ranking,Houston,Matamoros,Miami,Tampico
1,FMFRA-DLF (1.6133),LSTM (1.4934),HW (0.7723),FMFRA-ASSAF  (1.1449)
2,LSTM (1.4905),FMFRA-ASSAF (1.5537),SARIMA (0.7799),XGB (1.1689)
3,RFR (1.6675),SSA (1.5899),FMFRA-DLF (0.8156),RFR (1.1703)
4,SSA (1.6744),HW (1.7158),SSA (0.8156),SSA (1.1727)
5,HW (1.8243),RFR (1.7160),LR (0.9379),SARIMA (1.2679)
6,LR (1.9085),SARIMA (1.7232),XGB (0.9720),LR (1.3027)
7,XGB (1.9206),LR (1.7865),RFR (0.9785),LGBM (1.3031)
8,LGBM (1.9296),LGBM (1.8499),LGBM (1.1047),LSTM (1.3937)
9,SARIMA (1.9843),XGB (1.9004),LSTM (1.4575),HW (1.4438)
10,CNN (2.2161),CNN (2.2417),CNN (2.5502),CNN (2.3305)
